Region,State,Sector,Type,Plant / Project name,Unit / Phase name,GEM unit/phase ID,Status,units combined,DGR plant name,DGR unit,Notes
WR,Madhya Pradesh,State,coal,Satpura Thermal Power Station,Unit 6,G100000108848,,,SATPURA TPS,Unit 6,
WR,Madhya Pradesh,State,coal,Satpura Thermal Power Station,Unit 7,G100000108849,,,SATPURA TPS,Unit 7,
WR,Madhya Pradesh,State,coal,Satpura Thermal Power Station,Unit 8,G100000108850,,,SATPURA TPS,Unit 8,
WR,Madhya Pradesh,State,coal,Satpura Thermal Power Station,Unit 9,G100000108851,,,SATPURA TPS,Unit 9,
WR,Madhya Pradesh,State,coal,Satpura Thermal Power Station,Unit 10,G100000108841,,,SATPURA TPS,Unit 10,
WR,Madhya Pradesh,State,coal,Satpura Thermal Power Station,Unit 11,G100000108842,,,SATPURA TPS,Unit 11,
WR,Madhya Pradesh,Central,coal,NTPC Seoni power station,Phase 1,G100000105026,,,SEIONI TPP,Unit 1,
SR,Andhra Pradesh,Private,coal,Muthukur Mandal power station (Painampuram),Unit 1,G100000107134,,,SGPL TPP,Unit 1,
SR,Andhra Pradesh,Private,coal,Muthukur Mandal power station (Painampuram),Unit 2,G100000107135,,,SGPL TPP,Unit 2,
WR,Maharashtra,Private,coal,Nardana Vaghode power station,Unit 1,G100000107286,,,SHIRPUR TPP,Unit 1,
WR,Maharashtra,Private,coal,Nardana Vaghode power station,Unit 2,G100000107287,,,SHIRPUR TPP,Unit 2,
NR,Rajasthan,Private,coal,Ajmer power station,Unit 1,G100000100086,,,SHREE CEMENT LTD TPS,Unit 1,
NR,Rajasthan,Private,coal,Ajmer power station,Unit 2,G100000100087,,,SHREE CEMENT LTD TPS,Unit 2,
WR,Madhya Pradesh,State,coal,Shree Singaji Thermal Power Project,Stage I Unit 1,G100000109306,,,SHREE SINGAJI TPP,Unit 1,
WR,Madhya Pradesh,State,coal,Shree Singaji Thermal Power Project,Stage I Unit 2,G100000109307,,,SHREE SINGAJI TPP,Unit 2,
WR,Madhya Pradesh,State,coal,Shree Singaji Thermal Power Project,Stage II Unit 3,G100000109308,,,SHREE SINGAJI TPP,Unit 3,
WR,Madhya Pradesh,State,coal,Shree Singaji Thermal Power Project,Stage II Unit 4,G100000109309,,,SHREE SINGAJI TPP,Unit 4,
WR,Madhya Pradesh,State,coal,Shree Singaji Thermal Power Project,Stage I Unit 1,G100000109306,,,SHRI SINGHAJI TPP,Unit 1,
WR,Madhya Pradesh,State,coal,Shree Singaji Thermal Power Project,Stage I Unit 2,G100000109307,,,SHRI SINGHAJI TPP,Unit 2,
WR,Madhya Pradesh,State,coal,Shree Singaji Thermal Power Project,Stage II Unit 3,G100000109308,,,SHRI SINGHAJI TPP,Unit 3,
WR,Madhya Pradesh,State,coal,Shree Singaji Thermal Power Project,Stage II Unit 4,G100000109309,,,SHRI SINGHAJI TPP,Unit 4,
WR,Gujarat,State,coal,Sikka Thermal Power Station,Unit 3,G100000109384,,,SIKKA REP. TPS,Unit 3,
WR,Gujarat,State,coal,Sikka Thermal Power Station,Unit 4,G100000109385,,,SIKKA REP. TPS,Unit 4,
SR,Andhra Pradesh,Central,coal,Simhadri power station,Unit 1,G100000109391,,,SIMHADRI,Unit 1,
SR,Andhra Pradesh,Central,coal,Simhadri power station,Unit 2,G100000109392,,,SIMHADRI,Unit 2,
SR,Andhra Pradesh,Central,coal,Simhadri power station,Unit 3,G100000109393,,,SIMHADRI,Unit 3,
SR,Andhra Pradesh,Central,coal,Simhadri power station,Unit 4,G100000109394,,,SIMHADRI,Unit 4,
SR,Andhra Pradesh,Private,coal,Simhapuri Thamminapatnam power station,Unit 1,G100000110045,,,SIMHAPURI TPS,Unit 1,
SR,Andhra Pradesh,Private,coal,Simhapuri Thamminapatnam power station,Unit 2,G100000111931,,,SIMHAPURI TPS,Unit 2,
SR,Andhra Pradesh,Private,coal,Simhapuri Thamminapatnam power station,Unit 3,G100000110046,,,SIMHAPURI TPS,Unit 3,
SR,Andhra Pradesh,Private,coal,Simhapuri Thamminapatnam power station,Unit 4,G100000110047,,,SIMHAPURI TPS,Unit 4,
SR,Telangana,State,coal,Pegadapalli (Jaipur Mandal) power station,Unit 1,G100000107910,,,SINGARENI TPP,Unit 1,
SR,Telangana,State,coal,Pegadapalli (Jaipur Mandal) power station,Unit 2,G100000107911,,,SINGARENI TPP,Unit 2,
WR,Chhatisgarh,Private,coal,Athena Chhattisgarh power station,Unit 1,G100000100393,,,SINGHITARAI TPP,Unit 1,
WR,Chhatisgarh,Private,coal,Athena Chhattisgarh power station,Unit 2,G100000100394,,,SINGHITARAI TPP,Unit 2,
NR,Uttar Pradesh,Central,coal,Singrauli Super Thermal Power Station,Unit 1,G100000109413,,,SINGRAULI STPS,Unit 1,
NR,Uttar Pradesh,Central,coal,Singrauli Super Thermal Power Station,Unit 2,G100000109414,,,SINGRAULI STPS,Unit 2,
NR,Uttar Pradesh,Central,coal,Singrauli Super Thermal Power Station,Unit 3,G100000109415,,,SINGRAULI STPS,Unit 3,
NR,Uttar Pradesh,Central,coal,Singrauli Super Thermal Power Station,Unit 4,G100000109416,,,SINGRAULI STPS,Unit 4,
NR,Uttar Pradesh,Central,coal,Singrauli Super Thermal Power Station,Unit 5,G100000109417,,,SINGRAULI STPS,Unit 5,
NR,Uttar Pradesh,Central,coal,Singrauli Super Thermal Power Station,Unit 6,G100000109418,,,SINGRAULI STPS,Unit 6,
NR,Uttar Pradesh,Central,coal,Singrauli Super Thermal Power Station,Unit 7,G100000109419,,,SINGRAULI STPS,Unit 7,
WR,Chhatisgarh,Central,coal,Sipat power station,Unit 1,G100000109450,,,SIPAT STPS,Unit 1,
WR,Chhatisgarh,Central,coal,Sipat power station,Unit 2,G100000109451,,,SIPAT STPS,Unit 2,
WR,Chhatisgarh,Central,coal,Sipat power station,Unit 3,G100000109452,,,SIPAT STPS,Unit 3,
WR,Chhatisgarh,Central,coal,Sipat power station,Unit 4,G100000109453,,,SIPAT STPS,Unit 4,
WR,Chhatisgarh,Central,coal,Sipat power station,Unit 5,G100000109454,,,SIPAT STPS,Unit 5,
WR,Maharashtra,Central,coal,Solapur power station,Unit 1,G100000109490,,,SOLAPUR STPS,Unit 1,
WR,Maharashtra,Central,coal,Solapur power station,Unit 2,G100000109491,,,SOLAPUR STPS,Unit 2,
WR,Maharashtra,Central,coal,Solapur power station,Unit 1,G100000109490,,,SOLAPUR,Unit 1,
WR,Maharashtra,Central,coal,Solapur power station,Unit 2,G100000109491,,,SOLAPUR,Unit 2,
ER,West Bengal,Private,coal,Southern CESC power station,Phase B Unit 1,G100000109550,,,SOUTHERN REPL. TPS,Unit 1,
