source_system,plant_code,plant_name,source_country,coal_relevant,has_coordinates,decided_by,pipeline_note,candidate_1_id,candidate_1_name,candidate_1_score,candidate_2_id,candidate_2_name,candidate_2_score,candidate_3_id,candidate_3_name,candidate_3_score,gem_location_id,not_in_gem,decision_note
ENTSOE,,Nováky TG1,Slovakia,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Novaky (ENO) Thermal CHP Power Plant Slovakia'; no GEM link — review,L100000103415,Novaky power station,75,,,,,,,,f,
ENTSOE,,Nováky TG2,Slovakia,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Novaky (ENO) Thermal CHP Power Plant Slovakia'; no GEM link — review,L100000103415,Novaky power station,75,,,,,,,,f,
ENTSOE,,Nováky TG3,Slovakia,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Novaky (ENO) Thermal CHP Power Plant Slovakia'; no GEM link — review,L100000103415,Novaky power station,75,,,,,,,,f,
ENTSOE,,Ostrołęka B B01,Poland,t,t,,,L100000103234,Ostrołęka power station,75,L100000201195,Ostrołęka Mill power station,62.1,,,,,f,
ENTSOE,,Ostrołęka B B02,Poland,t,t,,,L100000103234,Ostrołęka power station,75,L100000201195,Ostrołęka Mill power station,62.1,,,,,f,
ENTSOE,,Ostrołęka B B03,Poland,t,t,,,L100000103234,Ostrołęka power station,75,L100000201195,Ostrołęka Mill power station,62.1,,,,,f,
ENTSOE,,P.G.RODR 1,Spain,t,t,legacy-pipeline,grandfathered llm match to GPPD 'PORTO GR 1'; no GEM link — review,,,,,,,,,,,f,
ENTSOE,,P.NUEVO 3,Spain,t,t,legacy-pipeline,grandfathered llm match to GPPD 'PUENTE NUEVO GR 3'; no GEM link — review,L100000103496,Puente Nuevo power station,66.7,,,,,,,,f,
ENTSOE,,Połaniec B1,Poland,t,t,,,,,,,,,,,,,f,
ENTSOE,,Połaniec B2,Poland,t,t,,,,,,,,,,,,,f,
ENTSOE,,Połaniec B3,Poland,t,t,,,,,,,,,,,,,f,
ENTSOE,,Połaniec B4,Poland,t,t,,,,,,,,,,,,,f,
ENTSOE,,Połaniec B5,Poland,t,t,,,,,,,,,,,,,f,
ENTSOE,,Połaniec B6,Poland,t,t,,,,,,,,,,,,,f,
ENTSOE,,Połaniec B7,Poland,t,t,,,,,,,,,,,,,f,
