country,gem_location_id,gem_plant_name,other_names,local_name,state_province,latitude,longitude,operating_mw,retired_mw,units_operating,units_retired,units_other_status,wiki_url
India,L100001048073,Jaunpur captive power station,,,Uttar Pradesh,25.651055,82.228647,,40,0,1,0,https://www.gem.wiki/Jaunpur_captive_power_station
India,L100000102337,Jawa power station,,,Madhya Pradesh,24.963897,81.490368,,,0,0,2,https://www.gem.wiki/Jawa_power_station
India,L100000102632,Jawaharpur Thermal Project,,,Uttar Pradesh,27.497098,78.826071,1320,,2,0,0,https://www.gem.wiki/Jawaharpur_Thermal_Project
India,L100000102551,Jaya power station,,,Tamil Nadu,8.803,78.1445,,,0,0,3,https://www.gem.wiki/Jaya_power_station
India,L100000102552,Jayamkondam power station,,,Tamil Nadu,11.2167,79.3667,,,0,0,1,https://www.gem.wiki/Jayamkondam_power_station
India,L100000102338,Jaypee Nigrie Super Thermal Power Project,,,Madhya Pradesh,24.14997,81.904525,1320,,2,0,0,https://www.gem.wiki/Jaypee_Nigrie_Super_Thermal_Power_Project
India,L100000102302,Jewargi power station,,,Karnataka,17.012141,76.7752,,,0,0,2,https://www.gem.wiki/Jewargi_power_station
India,L100000102339,Jhabua (Chetak) power station,,,Madhya Pradesh,22.769455,74.592483,,,0,0,1,https://www.gem.wiki/Jhabua_(Chetak)_power_station
India,L100000102470,Jharsuguda CPP power station,,,Odisha,21.787993,84.054361,1215,,9,0,0,https://www.gem.wiki/Jharsuguda_CPP_power_station
India,L100000102471,Jharsuguda Ind-Barath power station,,"Utkal TPP (Odisha), Sahajbahal",Odisha,21.657942,83.919513,700,,2,0,1,https://www.gem.wiki/Jharsuguda_Ind-Barath_power_station
India,L100000102472,Jharsuguda Sterlite power station,,"Sterlite TPP, STERLITE TPP U-1 (Unit 1), STERLITE TPP (Unit 2, Unit 3, Unit 4)",Odisha,21.815743,84.042036,2400,,4,0,0,https://www.gem.wiki/Jharsuguda_Sterlite_power_station
India,L100000102045,Jharupudi power station,,,Andhra Pradesh,18.3,83.9,,,0,0,1,https://www.gem.wiki/Jharupudi_power_station
India,L100000102267,Jindal Patratu captive power station,,,Jharkhand,23.691349,85.272247,,,0,0,2,https://www.gem.wiki/Jindal_Patratu_captive_power_station
India,L100001000104,Jojobera Cement Plant power station,,Nuvoco Vistas Cement Plant power station,Jharkhand,22.7531,86.2452,30,,1,0,0,https://www.gem.wiki/Jojobera_Cement_Plant_power_station
India,L100000102268,Jojobera Power Plant,,,Jharkhand,22.7554,86.2491,547.5,,5,0,0,https://www.gem.wiki/Jojobera_Power_Plant
India,L100000102159,KSK Mahanadi Power Project,,"Akaltara Ultra Mega Power Project, Akaltara TPP",Chhattisgarh,21.960296,82.409064,1800,,3,0,3,https://www.gem.wiki/KSK_Mahanadi_Power_Project
India,L100000102160,KSK Narmada Power Project,,,Chhattisgarh,22.749905,82.572849,,,0,0,1,https://www.gem.wiki/KSK_Narmada_Power_Project
India,L100000102273,KVK Jharkhand project,,,Jharkhand,22.935627,85.09262,,,0,0,1,https://www.gem.wiki/KVK_Jharkhand_project
India,L100000102553,Kadaladi power station,,,Tamil Nadu,9.227392,78.472595,,,0,0,5,https://www.gem.wiki/Kadaladi_power_station
India,L100000102304,Kadechur power station,,,Karnataka,16.51853,77.328408,,,0,0,2,https://www.gem.wiki/Kadechur_power_station
India,L100000102554,Kagithapuram Mill power station,,,Tamil Nadu,11.052854,77.995806,40,,1,0,0,https://www.gem.wiki/Kagithapuram_Mill_power_station
India,L100000102104,Kahalgaon Super Thermal Power Plant,,,Bihar,25.236903,87.265595,2340,,7,0,0,https://www.gem.wiki/Kahalgaon_Super_Thermal_Power_Plant
